Aktualisiere 4441 Charts
Verarbeite Batch 1 (100 Charts)
  Chart k5iKB: author='Christoph', email='christoph.knoop@rnd.de'
  Chart 0sbd5: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  40 Charts aktualisiert
  Chart 0wTcy: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 0yPMa: author='online haz.de', email='online@haz.de'
  Chart 0ydUL: author='online haz.de', email='online@haz.de'
  Chart 12M5D: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 12xZN: author='online haz.de', email='online@haz.de'
  Chart 13J5K: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 14QR9: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 14deA: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 16LUk: author='online haz.de', email='online@haz.de'
  Chart 17beO: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  50 Charts aktualisiert
  Chart 184OO: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 19KGO: author='online haz.de', email='online@haz.de'
  Chart 1DBVx: author='online haz.de', email='online@haz.de'
  Chart 1DPtL: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 1GQKv: author='', email='elisabeth.woldt@rnd.de'
  Chart 1HPw5: author='online haz.de', email='online@haz.de'
  Chart 1JcYi: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 1MH3B: author='online haz.de', email='online@haz.de'
  Chart 1PJMj: author='online haz.de', email='online@haz.de'
  Chart 1QDm9: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  60 Charts aktualisiert
  Chart 1Qjwd: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 1QsGg: author='', email='christoph.kuehne@rnd.de'
  Chart 1SE2L: author='', email='patrick.fam@rnd.de'
  Chart 1T095: author='online haz.de', email='online@haz.de'
  Chart 1Un7j: author='online haz.de', email='online@haz.de'
  Chart 1W0IV: author='', email='christoph.kuehne@rnd.de'
  Chart 1XjEC: author='Christoph', email='christoph.knoop@rnd.de'
  Chart 1aJtF: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 1bjko: author='online haz.de', email='online@haz.de'
  Chart 1i4Od: author='online haz.de', email='online@haz.de'
  70 Charts aktualisiert
  Chart 1k1lq: author='online haz.de', email='online@haz.de'
  Chart 1kwXi: author='online haz.de', email='online@haz.de'
  Chart 1nQZc: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 1rsWF: author='online haz.de', email='online@haz.de'
  Chart 1tuIW: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 1uchl: author='', email='christoph.kuehne@rnd.de'
  Chart 1xtPx: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 1zog7: author='online haz.de', email='online@haz.de'
  Chart 250Jw: author='', email='christoph.kuehne@rnd.de'
  Chart 270Zt: author='online haz.de', email='online@haz.de'
  80 Charts aktualisiert
  Chart 2775A: author='online haz.de', email='online@haz.de'
  Chart 28PtY: author='online haz.de', email='online@haz.de'
  Chart 2Bc6t: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 2CFhP: author='online haz.de', email='online@haz.de'
  Chart 2CnMA: author='online haz.de', email='online@haz.de'
  Chart 2DiUy: author='', email='patrick.fam@rnd.de'
  Chart 2E96e: author='', email='patrick.fam@rnd.de'
  Chart 2Ey0l: author='online haz.de', email='online@haz.de'
  Chart 2G5SW: author='online haz.de', email='online@haz.de'
  Chart 2I82t: author='online haz.de', email='online@haz.de'
  90 Charts aktualisiert
  Chart 2NQty: author='', email='christoph.kuehne@rnd.de'
  Chart 2NWhT: author='online haz.de', email='online@haz.de'
  Chart 2Nfs9: author='online haz.de', email='online@haz.de'
  Chart 2Q1YM: author='online haz.de', email='online@haz.de'
  Chart 2SRUi: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 2b51x: author='', email='christoph.kuehne@rnd.de'
  Chart 2bDOV: author='online haz.de', email='online@haz.de'
  Chart 2clP2: author='online haz.de', email='online@haz.de'
  Chart 2dL1T: author='online haz.de', email='online@haz.de'
  Chart 2ifjd: author='', email='christoph.kuehne@rnd.de'
  100 Charts aktualisiert
Verarbeite Batch 2 (100 Charts)
  Chart 2kXM7: author='', email='patrick.fam@rnd.de'
  Chart 2pMBo: author='online haz.de', email='online@haz.de'
  Chart 2rO2M: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 2s763: author='online haz.de', email='online@haz.de'
  Chart 2u4io: author='online haz.de', email='online@haz.de'
  Chart 2uTL5: author='online haz.de', email='online@haz.de'
  Chart 2vy5X: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 2xPA7: author='', email='christoph.kuehne@rnd.de'
  Chart 2ykuR: author='online haz.de', email='online@haz.de'
  Chart 32aJL: author='', email='christoph.kuehne@rnd.de'
  110 Charts aktualisiert
  Chart 35Je3: author='online haz.de', email='online@haz.de'
  Chart 35UAk: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 36cAb: author='online haz.de', email='online@haz.de'
  Chart 39ZNy: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 3E0se: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 3FBjx: author='online haz.de', email='online@haz.de'
  Chart 3Fieh: author='online haz.de', email='online@haz.de'
  Chart 3Fowe: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart 3FuBB: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 3KCYN: author='', email='christoph.kuehne@rnd.de'
  120 Charts aktualisiert
  Chart 3LrCJ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 3MhUd: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 3PGi1: author='', email='christoph.kuehne@rnd.de'
  Chart 3PUjM: author='online haz.de', email='online@haz.de'
  Chart 3Q0XN: author='', email='patrick.fam@rnd.de'
  Chart 3RDdS: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 3UpgH: author='', email='christoph.kuehne@rnd.de'
  Chart 3VGZX: author='', email='christoph.kuehne@rnd.de'
  Chart 3VcR3: author='online haz.de', email='online@haz.de'
  Chart 3W3Z6: author='online haz.de', email='online@haz.de'
  130 Charts aktualisiert
  Chart 3XBSi: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart 3XHnX: author='online haz.de', email='online@haz.de'
  Chart 3Xwo9: author='online haz.de', email='online@haz.de'
  Chart 3YUf1: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 3b7LE: author='online haz.de', email='online@haz.de'
  Chart 3b9ue: author='online haz.de', email='online@haz.de'
  Chart 3ca0o: author='online haz.de', email='online@haz.de'
  Chart 3cj9v: author='online haz.de', email='online@haz.de'
  Chart 3eXkw: author='', email='patrick.fam@rnd.de'
  Chart 3iV4s: author='', email='christoph.kuehne@rnd.de'
  140 Charts aktualisiert
  Chart 3ir79: author='', email='patrick.fam@rnd.de'
  Chart 3nItb: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 3tUwN: author='', email='christoph.kuehne@rnd.de'
  Chart 3vpGA: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 3vts3: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 3xzyp: author='', email='patrick.fam@rnd.de'
  Chart 41ziE: author='online haz.de', email='online@haz.de'
  Chart 42AjS: author='online haz.de', email='online@haz.de'
  Chart 43n14: author='online haz.de', email='online@haz.de'
  Chart 44W6m: author='Kilian Haller', email='kilian.haller@rnd.de'
  150 Charts aktualisiert
  Chart 452JJ: author='', email='elisabeth.woldt@rnd.de'
  Chart 458NI: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 46JBK: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4A315: author='online haz.de', email='online@haz.de'
  Chart 4AAjq: author='online haz.de', email='online@haz.de'
  Chart 4ApQx: author='Christoph', email='christoph.knoop@rnd.de'
  Chart 4Ble5: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4BoMv: author='online haz.de', email='online@haz.de'
  Chart 4COqt: author='online haz.de', email='online@haz.de'
  Chart 4DX6E: author='online haz.de', email='online@haz.de'
  160 Charts aktualisiert
  Chart 4EO9b: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4FfFG: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4GNHN: author='online haz.de', email='online@haz.de'
  Chart 4GeC6: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4GxnK: author='online haz.de', email='online@haz.de'
  Chart 4HgEp: author='online haz.de', email='online@haz.de'
  Chart 4I1OY: author='online haz.de', email='online@haz.de'
  Chart 4MsI6: author='', email='patrick.fam@rnd.de'
  Chart 4OESR: author='online haz.de', email='online@haz.de'
  Chart 4PRV7: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  170 Charts aktualisiert
  Chart 4Q0Xr: author='', email='christoph.kuehne@rnd.de'
  Chart 4QJ5b: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 4QmGf: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4Qpon: author='', email='patrick.fam@rnd.de'
  Chart 4RgGS: author='', email='sven.schulz@rnd.de'
  Chart 4U81k: author='online haz.de', email='online@haz.de'
  Chart 4VgOw: author='online haz.de', email='online@haz.de'
  Chart 4WWCT: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4WiQk: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 4Z3SR: author='online haz.de', email='online@haz.de'
  180 Charts aktualisiert
  Chart 4aNzU: author='online haz.de', email='online@haz.de'
  Chart 4bsie: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4g0Dp: author='online haz.de', email='online@haz.de'
  Chart 4iQcl: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4l2Ay: author='MADSACK Online', email='mol@madsack.de'
  Chart 4mvUb: author='online haz.de', email='online@haz.de'
  Chart 4n7ut: author='online haz.de', email='online@haz.de'
  Chart 4rYhj: author='online haz.de', email='online@haz.de'
  Chart 4rbnr: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 4s4dq: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  190 Charts aktualisiert
  Chart 4uIbK: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 4zSoE: author='online haz.de', email='online@haz.de'
  Chart 50Kql: author='online haz.de', email='online@haz.de'
  Chart 51t34: author='online haz.de', email='online@haz.de'
  Chart 51ujA: author='online haz.de', email='online@haz.de'
  Chart 52wEm: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 54lkl: author='online haz.de', email='online@haz.de'
  Chart 559Kc: author='online haz.de', email='online@haz.de'
  Chart 59ch1: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5Dg3i: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  200 Charts aktualisiert
Verarbeite Batch 3 (100 Charts)
  Chart 5I8Ms: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5IaKh: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5Ky8Y: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5LtMP: author='online haz.de', email='online@haz.de'
  Chart 5NNSe: author='', email='patrick.fam@rnd.de'
  Chart 5NNac: author='online haz.de', email='online@haz.de'
  Chart 5QIok: author='', email='patrick.fam@rnd.de'
  Chart 5QWIT: author='online haz.de', email='online@haz.de'
  Chart 5RB6L: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5Sanu: author='online haz.de', email='online@haz.de'
  210 Charts aktualisiert
  Chart 5UvZW: author='', email='christoph.kuehne@rnd.de'
  Chart 5VwMw: author='online haz.de', email='online@haz.de'
  Chart 5WG4E: author='online haz.de', email='online@haz.de'
  Chart 5Wwfr: author='', email='christoph.kuehne@rnd.de'
  Chart 5XEJZ: author='online haz.de', email='online@haz.de'
  Chart 5XxRK: author='', email='christoph.kuehne@rnd.de'
  Chart 5Zg8U: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5adqf: author='online haz.de', email='online@haz.de'
  Chart 5cobM: author='', email='christoph.kuehne@rnd.de'
  Chart 5dTSp: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  220 Charts aktualisiert
  Chart 5e6b7: author='online haz.de', email='online@haz.de'
  Chart 5ekgD: author='online haz.de', email='online@haz.de'
  Chart 5h8Kx: author='', email='patrick.fam@rnd.de'
  Chart 5hMnT: author='online haz.de', email='online@haz.de'
  Chart 5iJ8z: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5iPvQ: author='online haz.de', email='online@haz.de'
  Chart 5k8wF: author='online haz.de', email='online@haz.de'
  Chart 5l05Z: author='online haz.de', email='online@haz.de'
  Chart 5mJxe: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5nyYT: author='online haz.de', email='online@haz.de'
  230 Charts aktualisiert
  Chart 5pF0b: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 5qcLq: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 5uQ37: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart 5voHS: author='', email='geraldine.oetken@rnd.de'
  Chart 5wUre: author='', email='patrick.fam@rnd.de'
  Chart 5ywrN: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 60wTg: author='', email='patrick.fam@rnd.de'
  Chart 61wiY: author='', email='christoph.kuehne@rnd.de'
  Chart 62FwM: author='', email='patrick.fam@rnd.de'
  Chart 62lgm: author='online haz.de', email='online@haz.de'
  240 Charts aktualisiert
  Chart 630b5: author='', email='elisabeth.woldt@rnd.de'
  Chart 63zlD: author='online haz.de', email='online@haz.de'
  Chart 6AWmR: author='online haz.de', email='online@haz.de'
  Chart 6FNmY: author='online haz.de', email='online@haz.de'
  Chart 6KXuB: author='online haz.de', email='online@haz.de'
  Chart 6KrAM: author='', email='christoph.kuehne@rnd.de'
  Chart 6NKfG: author='online haz.de', email='online@haz.de'
  Chart 6Olok: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  Chart 6OrQ6: author='online haz.de', email='online@haz.de'
  Chart 6PVwf: author='', email='geraldine.oetken@rnd.de'
  250 Charts aktualisiert
  Chart 6PW3l: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 6V3wz: author='online haz.de', email='online@haz.de'
  Chart 6VXEQ: author='', email='christoph.kuehne@rnd.de'
  Chart 6WWT3: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 6WXd2: author='', email='christoph.kuehne@rnd.de'
  Chart 6XEJc: author='online haz.de', email='online@haz.de'
  Chart 6eyEf: author='', email='patrick.fam@rnd.de'
  Chart 6gGEP: author='online haz.de', email='online@haz.de'
  Chart 6hVcz: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 6hrqD: author='', email='elisabeth.woldt@rnd.de'
  260 Charts aktualisiert
  Chart 6iHz9: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 6ip3M: author='online haz.de', email='online@haz.de'
  Chart 6m4YG: author='online haz.de', email='online@haz.de'
  Chart 6o8Tm: author='', email='patrick.fam@rnd.de'
  Chart 6pyBA: author='online haz.de', email='online@haz.de'
  Chart 6sUXZ: author='', email='patrick.fam@rnd.de'
  Chart 6v6AG: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 6y2VQ: author='online haz.de', email='online@haz.de'
  Chart 6yxIk: author='online haz.de', email='online@haz.de'
  Chart 70KyA: author='online haz.de', email='online@haz.de'
  270 Charts aktualisiert
  Chart 70Yg9: author='online haz.de', email='online@haz.de'
  Chart 73x7n: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 74tDE: author='online haz.de', email='online@haz.de'
  Chart 757HN: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 75Rud: author='online haz.de', email='online@haz.de'
  Chart 760PT: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7B7w2: author='online haz.de', email='online@haz.de'
  Chart 7CTcL: author='online haz.de', email='online@haz.de'
  Chart 7Dcw6: author='', email='christoph.kuehne@rnd.de'
  Chart 7DnFy: author='', email='christoph.kuehne@rnd.de'
  280 Charts aktualisiert
  Chart 7FXqT: author='online haz.de', email='online@haz.de'
  Chart 7GpG6: author='', email='patrick.fam@rnd.de'
  Chart 7HfH8: author='online haz.de', email='online@haz.de'
  Chart 7Hy17: author='', email='christoph.kuehne@rnd.de'
  Chart 7Jdbk: author='online haz.de', email='online@haz.de'
  Chart 7M2oM: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7MWPs: author='online haz.de', email='online@haz.de'
  Chart 7MggY: author='online haz.de', email='online@haz.de'
  Chart 7O8fA: author='online haz.de', email='online@haz.de'
  Chart 7QY2j: author='', email='christoph.kuehne@rnd.de'
  290 Charts aktualisiert
  Chart 7Roli: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7UCGA: author='online haz.de', email='online@haz.de'
  Chart 7UP9N: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7Uhj0: author='', email='patrick.fam@rnd.de'
  Chart 7WZ8U: author='online haz.de', email='online@haz.de'
  Chart 7YYuW: author='online haz.de', email='online@haz.de'
  Chart 7azeG: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7bL6I: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7cRBl: author='', email='patrick.fam@rnd.de'
  Chart 7cv4T: author='online haz.de', email='online@haz.de'
  300 Charts aktualisiert
Verarbeite Batch 4 (100 Charts)
  Chart 7dJu5: author='online haz.de', email='online@haz.de'
  Chart 7dynM: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7f8VV: author='online haz.de', email='online@haz.de'
  Chart 7hfVh: author='online haz.de', email='online@haz.de'
  Chart 7iRpt: author='online haz.de', email='online@haz.de'
  Chart 7im1I: author='online haz.de', email='online@haz.de'
  Chart 7jhfb: author='online haz.de', email='online@haz.de'
  Chart 7k7Rr: author='online haz.de', email='online@haz.de'
  Chart 7lg3S: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7mJ2z: author='Laura Beigel', email='laura.beigel@rnd.de'
  310 Charts aktualisiert
  Chart 7mbhA: author='', email='patrick.fam@rnd.de'
  Chart 7mchI: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 7raKo: author='', email='patrick.fam@rnd.de'
  Chart 7u3KY: author='online haz.de', email='online@haz.de'
  Chart 7uKpJ: author='online haz.de', email='online@haz.de'
  Chart 7wNa4: author='online haz.de', email='online@haz.de'
  Chart 86vXr: author='', email='sven.schulz@rnd.de'
  Chart 8957H: author='', email='elisabeth.woldt@rnd.de'
  Chart 89qCK: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8DoDq: author='', email='christoph.kuehne@rnd.de'
  320 Charts aktualisiert
  Chart 8H66M: author='online haz.de', email='online@haz.de'
  Chart 8HCqB: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 8LUQY: author='online haz.de', email='online@haz.de'
  Chart 8N9CV: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8SCDx: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8SVjU: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 8U6Ur: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 8UgQl: author='', email='christoph.kuehne@rnd.de'
  Chart 8Vm6f: author='online haz.de', email='online@haz.de'
  Chart 8WDqZ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  330 Charts aktualisiert
  Chart 8WRtn: author='online haz.de', email='online@haz.de'
  Chart 8Was7: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8XAGy: author='online haz.de', email='online@haz.de'
  Chart 8bhVa: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8bxz8: author='online haz.de', email='online@haz.de'
  Chart 8dzV4: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8hDtG: author='online haz.de', email='online@haz.de'
  Chart 8ltCa: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8pEAy: author='', email='christoph.kuehne@rnd.de'
  Chart 8qLsN: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  340 Charts aktualisiert
  Chart 8uSXx: author='online haz.de', email='online@haz.de'
  Chart 8ukkc: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 8wBG3: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8y7oi: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 8yLyq: author='online haz.de', email='online@haz.de'
  Chart 8yQqH: author='online haz.de', email='online@haz.de'
  Chart 8ybUh: author='online haz.de', email='online@haz.de'
  Chart 8zFnU: author='online haz.de', email='online@haz.de'
  Chart 93Cem: author='online haz.de', email='online@haz.de'
  Chart 93clo: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  350 Charts aktualisiert
  Chart 93sLq: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9747L: author='online haz.de', email='online@haz.de'
  Chart 98DbV: author='', email='elisabeth.woldt@rnd.de'
  Chart 9Cv06: author='online haz.de', email='online@haz.de'
  Chart 9M9ES: author='online haz.de', email='online@haz.de'
  Chart 9Ouwg: author='online haz.de', email='online@haz.de'
  Chart 9P005: author='online haz.de', email='online@haz.de'
  Chart 9QW98: author='online haz.de', email='online@haz.de'
  Chart 9S9zH: author='online haz.de', email='online@haz.de'
  Chart 9V49E: author='online haz.de', email='online@haz.de'
  360 Charts aktualisiert
  Chart 9VZH0: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9VaYM: author='online haz.de', email='online@haz.de'
  Chart 9Yq1y: author='online haz.de', email='online@haz.de'
  Chart 9Z7lZ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9agaO: author='online haz.de', email='online@haz.de'
  Chart 9bjTX: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9bvHE: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9cSUe: author='online haz.de', email='online@haz.de'
  Chart 9eWfm: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9iW7S: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  370 Charts aktualisiert
  Chart 9idIZ: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9kWUw: author='', email='johannes.christ_freier_mitarbeiter@rnd.de'
  Chart 9lCbM: author='', email='christoph.kuehne@rnd.de'
  Chart 9lHZw: author='online haz.de', email='online@haz.de'
  Chart 9nIWs: author='online haz.de', email='online@haz.de'
  Chart 9s2Wp: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart 9thOP: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9u7cu: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart 9ug3A: author='online haz.de', email='online@haz.de'
  Chart 9wkC4: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  380 Charts aktualisiert
  Chart A1KWo: author='online haz.de', email='online@haz.de'
  Chart A1Yje: author='online haz.de', email='online@haz.de'
  Chart A3Hxn: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart A6Z7h: author='online haz.de', email='online@haz.de'
  Chart A7isp: author='', email='patrick.fam@rnd.de'
  Chart AHnFp: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart AL1UD: author='', email='christoph.kuehne@rnd.de'
  Chart AP7mq: author='online haz.de', email='online@haz.de'
  Chart ATi1C: author='online haz.de', email='online@haz.de'
  Chart ATxNf: author='online haz.de', email='online@haz.de'
  390 Charts aktualisiert
  Chart AU2Qa: author='online haz.de', email='online@haz.de'
  Chart AV6Uu: author='', email='christoph.kuehne@rnd.de'
  Chart AVFnu: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart AWt1F: author='online haz.de', email='online@haz.de'
  Chart AZofr: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart AabSv: author='online haz.de', email='online@haz.de'
  Chart AaoKz: author='online haz.de', email='online@haz.de'
  Chart Ae8tg: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart AgRHO: author='', email='patrick.fam@rnd.de'
  Chart AmYS9: author='Sabine Gurol', email='sabine.gurol@rnd.de'
  400 Charts aktualisiert
Verarbeite Batch 5 (100 Charts)
  Chart AoAhJ: author='', email='sven.schulz@rnd.de'
  Chart AvAA8: author='online haz.de', email='online@haz.de'
  Chart Aw8rE: author='Laura Beigel', email='laura.beigel@rnd.de'
  Chart Ay4bO: author='online haz.de', email='online@haz.de'
  Chart B0Kv0: author='', email='lucie.wittenberg@rnd.de'
  Chart B0OPt: author='', email='patrick.fam@rnd.de'
  Chart B1OAb: author='Patricia Haensel', email='patricia.haensel@rnd.de'
  Chart B1pIe: author='', email='christoph.kuehne@rnd.de'
  Chart B2Ik5: author='online haz.de', email='online@haz.de'
